stop_id,stop_name,latitude,longitude,platform_code,platform_name,municipality,wheelchair_accessible,parent_station,adress,description,zone,route_type
70163,Woodland,42.333094,-71.243659,,Riverside,Newton,1,place-woodl,"1940 Washington St, Newton, MA 02466",Woodland - Green Line - (D) Riverside,RapidTransit,0
70200,Park Street,42.356395,-71.062424,,Government Center & North,Boston,1,place-pktrm,"Tremont St and Winter St, Boston, MA 02108",Park Street - Green Line - Government Center & North,RapidTransit,0
70213,Hawes Street,42.344758,-71.111761,,Cleveland Circle,Brookline,2,place-hwsst,"Beacon St and Hawes St, Brookline, MA",Hawes Street - Green Line - (C) Cleveland Circle,RapidTransit,0
70506,Gilman Square,42.387831,-71.096629,,Copley & West,Somerville,1,place-gilmn,"161 School St, Somerville, MA 02143",Gilman Square - Green Line - Copley & West,RapidTransit,0
70124,Warren Street,42.348285,-71.140436,,Park Street & North,Boston,2,place-wrnst,"Commonwealth Ave and Warren St, Boston, MA",Warren Street - Green Line - Park Street & North,RapidTransit,0
70153,Hynes Convention Center,42.347888,-71.087903,,Kenmore & West,Boston,2,place-hymnl,"100 Massachusetts Ave, Boston, MA",Hynes Convention Center - Green Line - Kenmore & West,RapidTransit,0
70156,Arlington,42.351902,-71.070893,,Park Street & North,Boston,1,place-armnl,"Arlington St and Boylston St, Boston, MA 02116",Arlington - Green Line - Park Street & North,RapidTransit,0
70253,Mission Park,42.333279,-71.109276,,Heath Street,Boston,2,place-mispk,"Huntington Ave and Mission Park Dr, Boston, MA 02115",Mission Park - Green Line - (E) Heath Street,RapidTransit,0
70175,Reservoir,42.335163,-71.148601,,Riverside,Brookline,1,place-rsmnl,"401 Chestnut Hill Ave, Brookline, MA 02445",Reservoir - Green Line - (D) Riverside,RapidTransit,0
70229,Washington Square,42.339471,-71.135139,,Cleveland Circle,Brookline,1,place-bcnwa,"Beacon St and Washington St, Brookline, MA",Washington Square - Green Line - (C) Cleveland Circle,RapidTransit,0
70114,Chiswick Road,42.340808,-71.150633,,Park Street & North,Boston,2,place-chswk,"Commonwealth Ave and Chiswick Rd, Boston, MA",Chiswick Road - Green Line - Park Street & North,RapidTransit,0
70240,Prudential,42.34557,-71.081696,,Park Street & North,Boston,1,place-prmnl,"Huntington Ave and Belvidere St, Boston, MA 02199",Prudential - Green Line - Park Street & North,RapidTransit,0
70257,Back of the Hill,42.329369,-71.111046,,Heath Street,Boston,2,place-bckhl,"100 South Huntington Ave, Boston, MA 02130",Back of the Hill - Green Line - (E) Heath Street,RapidTransit,0
70230,Washington Square,42.339519,-71.134587,,Park Street & North,Brookline,1,place-bcnwa,"Beacon St and Washington St, Brookline, MA",Washington Square - Green Line - Park Street & North,RapidTransit,0
