vehicle_id,vehicle_label,stop_status,stop_sequence,direction_id,latitude,longitude,bearing,speed,timestamp,trip_id,trip_short_name,bikes_allowed,headsign,stop,stop_name,route_id,parent_station
G-10087,3848-3633,STOPPED_AT,160,0,42.35011,-71.10722,315,5.5,2023-04-27 15:26:54-04:00,55713657,,2.0,Boston College,70145,Boston University Central,Green-B,place-bucen
G-10214,3701-3885,STOPPED_AT,590,1,42.35245,-71.06483,20,,2023-04-27 15:27:21-04:00,55714179,,2.0,Medford/Tufts,70158,Boylston,Green-E,place-boyls
G-10059,3849-3607,STOPPED_AT,1,1,42.32825,-71.11032,45,1.8,2023-04-27 15:25:32-04:00,55714184,,2.0,Medford/Tufts,70260,Heath Street,Green-E,place-hsmnl
G-10249,3684-3819,INCOMING_AT,110,0,42.35164,-71.07172,240,,2023-04-27 15:27:17-04:00,55714024,,2.0,Riverside,70155,Copley,Green-D,place-coecl
G-10090,3674-3827,IN_TRANSIT_TO,570,1,42.34788,-71.08627,105,,2023-04-27 15:26:50-04:00,ADDED-1581508243,,0.0,Government Center,70154,Copley,Green-C,place-coecl
G-10256,3870,INCOMING_AT,10,0,42.36705,-71.06847,125,5.5,2023-04-27 15:26:18-04:00,ADDED-1581508257,,0.0,Riverside,70208,Science Park/West End,Green-D,place-spmnl
G-10053,3816-3646,IN_TRANSIT_TO,120,0,42.34996,-71.07792,240,,2023-04-27 15:27:12-04:00,ADDED-1581508252,,0.0,Cleveland Circle,70153,Hynes Convention Center,Green-C,place-hymnl
G-10121,3877-3610,STOPPED_AT,570,0,42.33723,-71.25208,315,4.5,2023-04-27 15:23:40-04:00,55713742,,2.0,Riverside,70161,Riverside,Green-D,place-river
G-10050,3655-3884,STOPPED_AT,340,1,42.31891,-71.21649,135,5.9,2023-04-27 15:27:05-04:00,55713997,,2.0,Union Square,70166,Eliot,Green-D,place-eliot
G-10131,3806-3651,INCOMING_AT,500,0,42.33557,-71.14528,270,6.1,2023-04-27 15:27:26-04:00,55713758,,2.0,Riverside,70175,Reservoir,Green-D,place-rsmnl
G-10253,3643-3868,STOPPED_AT,620,1,42.36242,-71.05803,355,,2023-04-27 15:27:17-04:00,55713994,,2.0,Union Square,70203,Haymarket,Green-D,place-haecl
G-10015,3821-3631,STOPPED_AT,135,1,42.35097,-71.11483,135,5.2,2023-04-27 15:26:56-04:00,55713571,,2.0,Government Center,170140,Amory Street,Green-B,place-amory
G-10029,3846-3692,STOPPED_AT,90,1,42.35013,-71.13158,45,6.0,2023-04-27 15:26:59-04:00,55713574,,2.0,Government Center,70130,Harvard Avenue,Green-B,place-harvd
G-10007,3889-3716,STOPPED_AT,175,0,42.35101,-71.11478,315,6.6,2023-04-27 15:27:04-04:00,55713656,,2.0,Boston College,170141,Amory Street,Green-B,place-amory
G-10155,3843-3605,STOPPED_AT,20,0,42.36543,-71.0604,135,,2023-04-27 15:27:02-04:00,55714306,,2.0,Heath Street,70206,North Station,Green-E,place-north
G-10006,3857-3639,INCOMING_AT,100,0,42.35305,-71.06457,200,,2023-04-27 15:25:42-04:00,ADDED-1581508254,,0.0,Boston College,70157,Arlington,Green-B,place-armnl
G-10251,3625-3627,IN_TRANSIT_TO,20,0,42.36633,-71.0669,120,6.0,2023-04-27 15:27:00-04:00,55714026,,2.0,Riverside,70206,North Station,Green-D,place-north
G-10073,3718-3840,INCOMING_AT,610,0,42.33951,-71.09109,225,6.6,2023-04-27 15:27:32-04:00,55714304,,2.0,Heath Street,70245,Museum of Fine Arts,Green-E,place-mfa
R-547651F7,1885,IN_TRANSIT_TO,170,1,42.36147,-71.07437,275,,2023-04-27 15:27:27-04:00,ADDED-1581508213,,0,Alewife,70072,Kendall/MIT,Red,place-knncl
R-54764B51,1904,STOPPED_AT,40,0,42.36553,-71.10403,130,,2023-04-27 15:25:46-04:00,ADDED-1581508235,,0,Braintree,70069,Central,Red,place-cntsq
O-54764C31,1414,INCOMING_AT,170,0,42.31976,-71.10265,210,,2023-04-27 15:26:22-04:00,56494374,,0,Forest Hills,70004,Stony Brook,Orange,place-sbmnl
O-54765707,1436,INCOMING_AT,180,1,42.41459,-71.07663,357,,2023-04-27 15:26:57-04:00,56494278,,0,Oak Grove,70035,Malden Center,Orange,place-mlmnl
O-547656EE,1416,INCOMING_AT,120,0,42.34765,-71.07243,265,,2023-04-27 15:27:32-04:00,56494375,,0,Forest Hills,70014,Back Bay,Orange,place-bbsta
B-5476571C,0771,IN_TRANSIT_TO,1,1,42.36122,-71.0631,135,,2023-04-27 15:27:19-04:00,55458818-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70038,Bowdoin,Blue,place-bomnl
O-547644BC,1468,IN_TRANSIT_TO,150,1,42.37654,-71.07419,320,,2023-04-27 15:27:13-04:00,56494280,,0,Oak Grove,70031,Sullivan Square,Orange,place-sull
