route_id,route_name,Description,route_type
112,Wellington Station - Wood Island Station,Local Bus,3
114,Market Basket - Maverick Station,Community Bus,3
116,Wonderland Station - Maverick Station via Revere Street,Key Bus,3
117,Wonderland Station - Maverick Station via Beach Street,Key Bus,3
119,Northgate Shopping Center - Beachmont Station,Local Bus,3
120,Orient Heights Station - Jeffries Point,Local Bus,3
121,Wood Island Station - Maverick Station,Commuter Bus,3
131,Melrose Highlands - Oak Grove or Malden Center Station,Commuter Bus,3
132,Redstone Shopping Center - Malden Center Station,Local Bus,3
134,North Woburn - Wellington Station,Local Bus,3
137,Reading Depot - Malden Center Station,Local Bus,3
171,Logan Airport Terminals - Nubian Station,Supplemental Bus,3
201,Fields Corner Loop via Neponset Ave,Local Bus,3
202,Fields Corner Loop via Adams Street,Local Bus,3
210,Quincy Center Station - Fields Corner Station,Local Bus,3
211,Quincy Center Station - Squantum,Local Bus,3
215,Quincy Center Station - Ashmont Station via West Quincy,Local Bus,3
216,Houghs Neck - Quincy Center Station via Germantown,Local Bus,3
217,Quincy Center Station - Ashmont Station via Wollaston Station,Commuter Bus,3
220,Hingham Depot - Quincy Center Station,Local Bus,3
222,East Weymouth - Quincy Center Station,Local Bus,3
225,Weymouth Landing - Quincy Center Station,Local Bus,3
226,Columbian Square - Braintree Station,Local Bus,3
230,Montello Station - Quincy Center Station,Local Bus,3
236,South Shore Plaza - Quincy Center Station,Local Bus,3
238,Holbrook/Randolph Station - Quincy Center Station,Local Bus,3
240,Avon Square - Ashmont Station,Local Bus,3
245,Quincy Center Station - Mattapan Station,Local Bus,3
350,North Burlington - Alewife Station,Local Bus,3
351,Bedford Woods Drive - Third Avenue,Commuter Bus,3
354,"North Burlington - State Street, Boston",Commuter Bus,3
411,Kennedy Drive or Jack Satter House - Malden Center Station,Local Bus,3
424,Eastern Avenue & Essex Street - Wonderland Station,Commuter Bus,3
426,"Central Square, Lynn - Haymarket or Wonderland Station",Local Bus,3
428,Oaklandvale - Haymarket Station,Commuter Bus,3
429,"Northgate Shopping Center - Central Square, Lynn",Local Bus,3
430,Saugus Center - Malden Center Station,Local Bus,3
435,"Liberty Tree Mall - Central Square, Lynn via Peabody Square",Local Bus,3
436,"Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",Local Bus,3
439,Nahant - Wonderland Station,Commuter Bus,3
441,Marblehead - Wonderland Station via Paradise Road,Local Bus,3
442,Marblehead - Wonderland Station via Humphrey Street,Local Bus,3
450,Salem Depot - Wonderland or Haymarket Station,Local Bus,3
451,North Beverly Station - Salem Depot,Commuter Bus,3
455,Salem Depot - Wonderland Station,Local Bus,3
456,"Salem Depot - Central Square, Lynn",Local Bus,3
501,Brighton Center - Federal Street & Franklin Street,Commuter Bus,3
504,Watertown Yard - Federal Street & Franklin Street,Commuter Bus,3
505,Waltham Center - Federal Street & Franklin Street,Commuter Bus,3
553,Roberts - Newton Corner,Local Bus,3
554,Waverley Square - Newton Corner,Local Bus,3
556,Waltham Highlands - Newton Corner,Commuter Bus,3
558,Riverside Station - Newton Corner,Commuter Bus,3
712,Point Shirley - Orient Heights Station via Revere Street,Local Bus,3
713,Point Shirley - Orient Heights Station via Winthrop Center,Local Bus,3
714,"Pemberton Point, Hull - Station Street, Hingham",Local Bus,3
716,Cobbs Corner - Mattapan Station,Local Bus,3
Boat-F4,Charlestown Ferry,Ferry,4
Boat-F1,Hingham/Hull Ferry,Ferry,4
Boat-EastBoston,East Boston Ferry,Ferry,4
